City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,mosquera,4.7059,-74.2302,17.05,67,75,6.17,CO,1670093392
119,grand gaube,-20.0064,57.6608,24.22,73,100,0.89,MU,1670093392
120,te anau,-45.4167,167.7167,10.51,82,100,3.06,NZ,1670093393
121,iqaluit,63.7506,-68.5145,-23.78,97,23,1.8,CA,1670093393
122,rusape,-18.5278,32.1284,19.56,45,0,2.02,ZW,1670093395
123,plouzane,48.3833,-4.6167,5.1,81,100,4.63,FR,1670093395
124,itarema,-2.9248,-39.9167,28.98,62,11,8.18,BR,1670093396
125,fatsa,41.0278,37.5014,11.89,93,100,1.55,TR,1670093396
126,tasiilaq,65.6145,-37.6368,-0.91,95,100,11.68,GL,1670093397
127,lompoc,34.6391,-120.4579,17.69,93,100,4.63,US,1670093398
128,havelock,34.8791,-76.9013,22.99,74,100,6.17,US,1670093399
129,thunder bay,48.4001,-89.3168,-12.01,56,75,7.72,CA,1670093399
130,caravelas,-17.7125,-39.2481,23.99,90,100,3.51,BR,1670093400
131,marzuq,14.4,46.4667,17.79,41,0,0.34,YE,1670093400
132,lake havasu city,34.4839,-114.3224,15.68,55,0,3.6,US,1670093300
133,katete,-0.7818,29.7544,16.98,83,75,1.68,UG,1670093401
134,solnechnyy,50.7214,136.6319,-20.68,97,100,1.05,RU,1670093402
135,constitucion,-35.3333,-72.4167,20.42,67,34,8.54,CL,1670093291
136,sao filipe,14.8961,-24.4956,22.7,63,100,3.13,CV,1670093404
137,north platte,41.1239,-100.7654,5.21,34,0,8.23,US,1670093404
138,kruisfontein,-34.0033,24.7314,17.16,76,100,1.9,ZA,1670093405
139,ponta delgada,37.7333,-25.6667,13.4,71,20,5.66,PT,1670093270
140,lubbock,33.6001,-101.8338,7.3,29,40,2.57,US,1670093238
141,victoria,22.2855,114.1577,21.64,83,35,3.58,HK,1670093176
142,vaini,-21.2,-175.2,25.09,94,75,0.51,TO,1670093407
143,colon,9.3592,-79.9014,30.2,66,9,3.58,PA,1670093408
144,bengkulu,-3.8004,102.2655,23.64,90,100,1.65,ID,1670093405
145,vihari,30.0333,72.35,16.5,27,5,2.26,PK,1670093409
146,san pedro,14.35,121.0167,26.57,89,75,1.54,PH,1670093410
147,baindur,13.8667,74.6333,25.64,86,98,2.28,IN,1670093411
148,ahuimanu,21.4447,-157.8378,25.11,84,40,3.09,US,1670093411
149,meulaboh,4.1363,96.1285,23.67,89,100,1.71,ID,1670093412
150,upernavik,72.7868,-56.1549,-3.3,87,100,11.17,GL,1670093413
151,kaiyuan,23.6977,103.3037,12.25,95,8,2.31,CN,1670093413
152,nacala,-14.5428,40.6728,25.66,87,4,2.52,MZ,1670093414
153,new norfolk,-42.7826,147.0587,13.72,82,97,1.06,AU,1670093272
154,excelsior springs,39.3392,-94.2261,0.83,40,0,1.54,US,1670093415
155,hay river,60.8156,-115.7999,-13.02,85,75,3.6,CA,1670093415
156,payo,-3.7508,103.6372,23.03,96,100,0.37,ID,1670093416
157,alofi,-19.0595,-169.9187,24.94,100,97,0.51,NU,1670093417
158,gamboma,-1.8764,15.8644,22.33,93,94,1.16,CG,1670093418
159,alexandria,31.2156,29.9553,17.3,61,83,4.37,EG,1670093270
160,evensk,61.95,159.2333,-20.13,84,20,3.99,RU,1670093419
161,raudeberg,61.9875,5.1352,2.15,69,40,1.32,NO,1670093419
162,bara,10.3744,10.7288,26.32,26,47,2.43,NG,1670093420
163,tiksi,71.6872,128.8694,-23.16,94,100,10.11,RU,1670093261
164,prince george,53.9166,-122.753,-21.31,84,75,1.54,CA,1670093133
165,mfou,3.7159,11.6427,21.72,81,100,1.12,CM,1670093421
166,kholmogory,64.2229,41.656,-9.52,95,98,2.26,RU,1670093422
167,vila,42.0304,-8.1588,2.49,81,1,1.84,PT,1670093422
168,flinders,-34.5833,150.8552,16.88,79,0,2.64,AU,1670093423
169,narsaq,60.9167,-46.05,-9.51,83,2,2.25,GL,1670093423
170,broome,42.2506,-75.833,11.59,87,100,7.72,US,1670093209
171,vinica,41.8828,22.5092,8.48,90,100,1.65,MK,1670093424
172,broken hill,-31.95,141.4333,21.99,34,0,3.78,AU,1670093182
173,san nicolas,18.1725,120.5953,23.95,94,20,1.03,PH,1670093425
174,hun,29.1268,15.9477,19.72,26,6,4.86,LY,1670093426
175,stephenville,32.2207,-98.2023,12.3,34,0,6.17,US,1670093190
176,san cristobal,7.7669,-72.225,23.1,69,84,1.3,VE,1670093427
177,port alfred,-33.5906,26.891,16.77,89,99,0.45,ZA,1670093139
178,golfito,8.639,-83.166,27.37,78,48,2.34,CR,1670093428
179,barra dos coqueiros,-10.9089,-37.0386,26.01,83,100,3.6,BR,1670093429
180,guerrero negro,27.9769,-114.0611,22.42,51,100,2.19,MX,1670093284
181,saint peter,13.25,-59.6167,28.31,84,100,5.97,BB,1670093430
182,bambous virieux,-20.3428,57.7575,24.14,78,40,1.54,MU,1670093275
183,baherden,38.4362,57.4316,5.1,27,91,4.08,TM,1670093431
184,husavik,66.0449,-17.3389,1.4,85,85,4.79,IS,1670093432
185,klaksvik,62.2266,-6.589,6.51,96,100,3.55,FO,1670093433
186,lebu,-37.6167,-73.65,17.25,71,77,5.33,CL,1670093433
187,middelburg,-25.7751,29.4648,23.93,41,87,2.07,ZA,1670093434
188,miranda,3.2499,-76.2281,27.07,63,23,0.86,CO,1670093389
189,mount isa,-20.7333,139.5,17.87,68,0,0.0,AU,1670093435
190,longyearbyen,78.2186,15.6401,-1.09,86,75,9.26,SJ,1670093435
191,soc trang,9.6033,105.98,24.11,92,100,4.57,VN,1670093436
